epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.10924406720711,0.25,0.25,,0.25,
0,-6.090829880937854,0.4625740647315979,0.4427083432674408,0.2883037030696869,0.24983465671539307,0.12725090980529785
1,-4.80140326869502,0.5779780745506287,0.5859375,0.7783427238464355,0.33510375022888184,0.18627260625362396
2,-3.332432426743617,0.6119179725646973,0.6484375,0.8930041790008545,0.4646739065647125,0.33565831184387207
3,-2.615443953193879,0.6629380583763123,0.74609375,1.1623599529266357,0.5429841876029968,0.5533510446548462
4,-2.813188870358783,0.6862956285476685,0.7109375,1.2624064683914185,0.656002938747406,0.7452858686447144
5,-2.4640216329400855,0.6924195289611816,0.8046875,1.4064894914627075,0.8196640610694885,1.282904863357544
6,-4.929707745209187,0.7006798982620239,0.8046875,1.5397758483886719,0.8607954382896423,2.59893536567688
7,-2.099508675334802,0.7000283598899841,0.8515625,1.4756196737289429,0.9371294379234314,2.687351942062378
8,-0.287353002871728,0.7280380129814148,0.8125,1.574020504951477,0.971714437007904,10.503369331359863
9,4.506361510565999,0.8876917958259583,0.7109375,3.016545534133911,0.9539278745651245,61.31167221069336
10,8.56191199756096,0.9081447720527649,0.58984375,2.7009854316711426,0.9833251237869263,1546.81884765625
11,6.2588873866618995,0.978171706199646,0.625,2.2708914279937744,0.96875,18420.37890625
12,6.638274053428425,0.986248791217804,0.640625,0.3775885999202728,0.9771491885185242,107857.9375
13,7.3730900948489735,0.9695716500282288,0.54296875,0.7755255103111267,0.9908596873283386,305723.15625
14,4.526985214556658,0.8315773606300354,0.5859375,9.546333312988281,0.9832015633583069,349886.59375
15,-2.885062922377438,0.8898926973342896,0.65625,4.692080020904541,0.9954298138618469,327327.65625
16,-2.811919789600966,0.9847866892814636,0.44921875,0.4565735161304474,0.9971590638160706,192446.109375
17,-2.8646329228054537,0.9608422517776489,0.28125,0.317294716835022,0.9945651888847351,114752.1171875
18,-2.772196514568582,0.9488062858581543,0.25390625,0.1932114064693451,0.9886363744735718,98072.1015625
19,-2.7350536914797448,0.9235208034515381,0.23828125,0.1930883228778839,0.9675148129463196,94000.40625
20,-2.709275391355607,0.9198895692825317,0.25,0.1710352599620819,0.9715909361839294,90087.34375
21,-2.8064063383273274,0.9288862943649292,0.25390625,0.15814432501792908,0.9751729369163513,89062.7421875
22,-2.82691021935845,0.9394810199737549,0.296875,0.11228027939796448,0.9860424995422363,88085.7265625
23,-2.709045886885908,0.9471391439437866,0.296875,0.1736721694469452,0.9754199385643005,90872.5703125
24,-2.7324073551150945,0.9449605345726013,0.2890625,0.19638489186763763,0.960597813129425,89808.7421875
25,-2.8690387783227465,0.9459907412528992,0.30078125,0.14413152635097504,0.9587450623512268,88186.71875
26,-2.773582388692199,0.957866370677948,0.3046875,0.15086671710014343,0.9544219374656677,88796.859375
27,-2.8355469384240486,0.96335768699646,0.296875,0.13106007874011993,0.9603508114814758,87801.390625
28,-2.7955118972912385,0.9645385146141052,0.3359375,0.13025765120983124,0.9683794379234314,89234.1015625
29,-2.679055261613152,0.9620810151100159,0.296875,0.13792455196380615,0.9899950623512268,86373.6328125
30,-2.7100007989881605,0.9457637071609497,0.25,0.15492163598537445,0.9887598752975464,86184.921875
31,-2.5115153210891865,0.9331820607185364,0.32421875,0.28201672434806824,0.9822134375572205,88603.9765625
32,-2.716422648597778,0.9170193672180176,0.33984375,0.3158282935619354,0.9829545617103577,86501.96875
33,-2.495596881581574,0.8866517543792725,0.31640625,0.3813146650791168,0.9849308133125305,88913.5
34,-2.6661983643474065,0.842972993850708,0.34765625,0.7557688355445862,0.9930830001831055,98493.9375
35,-1.8481089781119016,0.7537398934364319,0.35546875,0.5556589961051941,0.9940711259841919,88463.578125
36,-1.931040646878519,0.6671679615974426,0.3671875,0.7430189251899719,0.99048912525177,92159.6328125
37,-0.2570810073608691,0.5979825258255005,0.36328125,1.5543649196624756,0.9924654364585876,102374.1484375
38,0.6538006299311575,0.5387958884239197,0.40234375,1.6207311153411865,0.9958003759384155,104605.28125
39,-0.564403148832306,0.5393609404563904,0.49609375,1.9447003602981567,0.9977766871452332,160231.484375
40,-0.6204575284193247,0.5577828884124756,0.4140625,1.694848656654358,0.9966650009155273,125195.96875
41,-1.2210979025589033,0.6113364100456238,0.4140625,1.983176589012146,0.9844367504119873,108413.4453125
42,6.438151276635978,0.6384469866752625,0.41015625,2.215407609939575,0.9773962497711182,107257.9609375
43,2.787650053831188,0.885550856590271,0.53125,2.079882860183716,0.875247061252594,358766.15625
44,4.779525717922633,0.9743815064430237,0.546875,0.3794279992580414,0.9256423115730286,265493.28125
45,6.113114884707142,0.9799562692642212,0.54296875,0.29390856623649597,0.9599802494049072,298533.5625
46,7.885685368479298,0.9902776479721069,0.640625,0.22612136602401733,0.9828310012817383,402302.25
47,6.005150550675876,0.9891810417175293,0.60546875,0.2626381516456604,0.9838191866874695,372054.375
48,9.836619113457678,0.9932071566581726,0.671875,0.17675897479057312,0.9881423115730286,404642.21875
49,10.548695505607938,0.9934793710708618,0.640625,0.3030654489994049,0.9917243123054504,534449.4375
