epoch,train_p,val_p,train_log_p,val_log_p,train_kl,val_kl
0,0.24174538254737854,0.23803895711898804,-1.8443119525909424,-1.8618258237838745,10.794363975524902,11.847715377807617
1,0.2379681020975113,0.23197053372859955,-1.8737019300460815,-1.9021934270858765,11.102511405944824,11.929450988769531
2,0.24048656225204468,0.24048635363578796,-1.8432016372680664,-1.8424519300460815,10.261381149291992,10.99872875213623
3,0.24230650067329407,0.23973800241947174,-1.8435019254684448,-1.8560305833816528,10.797276496887207,11.549885749816895
4,0.24152638018131256,0.24189434945583344,-1.842369794845581,-1.8361250162124634,10.280838012695312,10.967613220214844
5,0.23675958812236786,0.23799176514148712,-1.8630026578903198,-1.8659411668777466,9.69604778289795,10.311574935913086
6,0.24289222061634064,0.24210825562477112,-1.8311737775802612,-1.833263635635376,9.794368743896484,10.380563735961914
7,0.24353814125061035,0.24158383905887604,-1.8197013139724731,-1.8321555852890015,9.645994186401367,10.176668167114258
8,0.24429193139076233,0.24376662075519562,-1.8216322660446167,-1.8132463693618774,9.552289962768555,10.062468528747559
9,0.2391689270734787,0.24078714847564697,-1.8352926969528198,-1.838779091835022,8.779329299926758,9.208224296569824
10,0.24116398394107819,0.24105337262153625,-1.8206323385238647,-1.8156325817108154,8.638555526733398,9.0464506149292
11,0.24455887079238892,0.24221743643283844,-1.8043813705444336,-1.7966006994247437,8.531013488769531,8.956722259521484
12,0.24856366217136383,0.24826660752296448,-1.7886160612106323,-1.792526364326477,8.837326049804688,9.15998649597168
13,0.25054633617401123,0.24567648768424988,-1.772360920906067,-1.7959505319595337,8.517207145690918,8.872725486755371
14,0.25294995307922363,0.25168710947036743,-1.750643014907837,-1.7501827478408813,7.87174129486084,8.221063613891602
15,0.2546096444129944,0.25472235679626465,-1.7336812019348145,-1.7298489809036255,7.53781795501709,7.860326766967773
16,0.25657162070274353,0.25332027673721313,-1.7247118949890137,-1.7212454080581665,7.427900314331055,7.770466327667236
17,0.25770798325538635,0.25599992275238037,-1.712788701057434,-1.7153407335281372,7.308751106262207,7.591211795806885
18,0.2602860927581787,0.25920355319976807,-1.6917908191680908,-1.689164161682129,6.942925930023193,7.227245330810547
19,0.2621862292289734,0.261626660823822,-1.6872702836990356,-1.6762938499450684,6.867238998413086,7.109387397766113
20,0.2584814131259918,0.26293662190437317,-1.7029156684875488,-1.6692858934402466,6.861231327056885,7.027288436889648
21,0.2666817009449005,0.26940855383872986,-1.6449356079101562,-1.6272341012954712,6.3804826736450195,6.601622104644775
22,0.2703210413455963,0.27166125178337097,-1.6241220235824585,-1.6069058179855347,6.222140789031982,6.425574779510498
23,0.2711775004863739,0.2745690941810608,-1.6142761707305908,-1.5879708528518677,6.025487899780273,6.229702472686768
24,0.2743464708328247,0.27664974331855774,-1.5874934196472168,-1.5625817775726318,5.75038480758667,5.898133277893066
25,0.2703551948070526,0.2747249901294708,-1.59846830368042,-1.5676839351654053,5.700463771820068,5.889438629150391
26,0.2787555456161499,0.28021445870399475,-1.5538017749786377,-1.5250369310379028,5.369318962097168,5.489789009094238
27,0.2762470245361328,0.27750322222709656,-1.559827208518982,-1.520330548286438,5.386532306671143,5.509592533111572
28,0.28299954533576965,0.2843010723590851,-1.5241159200668335,-1.5104334354400635,5.183684349060059,5.3200483322143555
29,0.28757286071777344,0.2888270914554596,-1.4916578531265259,-1.4646414518356323,4.949729919433594,5.051473617553711
30,0.28926655650138855,0.2910715341567993,-1.4839147329330444,-1.4604684114456177,4.902910232543945,4.99946928024292
31,0.29265478253364563,0.29527875781059265,-1.460686445236206,-1.4311045408248901,4.672980308532715,4.788113594055176
32,0.29394176602363586,0.2948113977909088,-1.4527579545974731,-1.4369068145751953,4.691866397857666,4.765442848205566
33,0.29768094420433044,0.3027825355529785,-1.422764778137207,-1.383925437927246,4.43764591217041,4.531527042388916
34,0.300663024187088,0.3035328686237335,-1.4103457927703857,-1.3821486234664917,4.389307498931885,4.482978343963623
35,0.303046852350235,0.30648288130760193,-1.3876115083694458,-1.3514634370803833,4.154170036315918,4.238097190856934
36,0.30507856607437134,0.30873167514801025,-1.3773393630981445,-1.33778715133667,4.090567111968994,4.170436382293701
37,0.309279203414917,0.3095759451389313,-1.3523980379104614,-1.3282243013381958,3.895780563354492,3.964710235595703
38,0.3097922205924988,0.31509122252464294,-1.3521099090576172,-1.30361008644104,3.9638381004333496,4.027116775512695
39,0.3156706988811493,0.316791832447052,-1.3195446729660034,-1.2887755632400513,3.7359046936035156,3.797637462615967
40,0.31491726636886597,0.3173934519290924,-1.319027304649353,-1.2831474542617798,3.7153632640838623,3.767803192138672
41,0.3188781440258026,0.3203999102115631,-1.293043613433838,-1.2633787393569946,3.496242046356201,3.5606777667999268
42,0.32104024291038513,0.3237439692020416,-1.2805914878845215,-1.2483525276184082,3.4435653686523438,3.508237600326538
43,0.3232406973838806,0.32635998725891113,-1.2694737911224365,-1.2298929691314697,3.350919485092163,3.405989408493042
44,0.3256525695323944,0.33128151297569275,-1.2633055448532104,-1.2164233922958374,3.438271999359131,3.475200891494751
45,0.3291007876396179,0.33246806263923645,-1.2390655279159546,-1.2022465467453003,3.189267873764038,3.222256660461426
46,0.33130738139152527,0.3369693458080292,-1.234322428703308,-1.1876087188720703,3.2803752422332764,3.3229267597198486
47,0.3352149426937103,0.33934327960014343,-1.211183786392212,-1.1735368967056274,3.0425620079040527,3.0779006481170654
48,0.33169490098953247,0.3344556987285614,-1.2217777967453003,-1.186070442199707,2.9985156059265137,3.021088123321533
49,0.34771960973739624,0.3520839214324951,-1.168568730354309,-1.132210373878479,3.054405927658081,3.1029322147369385
50,0.35212671756744385,0.35726669430732727,-1.1499029397964478,-1.1102830171585083,2.87210750579834,2.915646553039551
51,0.340261310338974,0.3449099361896515,-1.1837533712387085,-1.1425988674163818,2.81131649017334,2.8512940406799316
52,0.3869973421096802,0.40345948934555054,-1.0447720289230347,-0.9812735915184021,2.8510172367095947,2.8770923614501953
53,0.41346868872642517,0.4313903748989105,-0.9697339534759521,-0.9067182540893555,2.8061463832855225,2.844175100326538
54,0.3640526533126831,0.3715558648109436,-1.1080793142318726,-1.0670515298843384,2.5967888832092285,2.641347646713257
55,0.35383448004722595,0.3581507205963135,-1.1364083290100098,-1.098665714263916,2.556605815887451,2.6007742881774902
56,0.35249218344688416,0.3580543100833893,-1.1371879577636719,-1.101222276687622,2.527678966522217,2.567293167114258
57,0.3532954454421997,0.3569435775279999,-1.134002685546875,-1.0983737707138062,2.4937973022460938,2.5316905975341797
58,0.3647066652774811,0.37014737725257874,-1.0989117622375488,-1.0618544816970825,2.4123852252960205,2.451833724975586
59,0.35659196972846985,0.3608333468437195,-1.1204133033752441,-1.0859103202819824,2.3964507579803467,2.437002658843994
60,0.3666330873966217,0.37310826778411865,-1.0904717445373535,-1.050538420677185,2.326353073120117,2.372211217880249
61,0.38422083854675293,0.39323410391807556,-1.0441617965698242,-1.0011194944381714,2.296966552734375,2.334808349609375
62,0.36408212780952454,0.36735910177230835,-1.0997211933135986,-1.0680986642837524,2.292710781097412,2.332810640335083
63,0.3785337507724762,0.38586145639419556,-1.0582338571548462,-1.0197259187698364,2.216132879257202,2.2655117511749268
64,0.40733975172042847,0.42032313346862793,-0.9870588779449463,-0.9422158598899841,2.207472562789917,2.2544827461242676
65,0.39269325137138367,0.4019339084625244,-1.0248711109161377,-0.9801119565963745,2.2433791160583496,2.282177448272705
66,0.37706229090690613,0.38325875997543335,-1.065190315246582,-1.029270052909851,2.141087532043457,2.1843035221099854
67,0.3908325433731079,0.3986770212650299,-1.0309090614318848,-0.9960840344429016,2.093933343887329,2.138650417327881
68,0.3938864767551422,0.40048709511756897,-1.0242278575897217,-0.9919765591621399,2.0665433406829834,2.112828254699707
69,0.38577213883399963,0.393994003534317,-1.0450114011764526,-1.0026873350143433,2.086843252182007,2.1337807178497314
70,0.3952622413635254,0.40292009711265564,-1.0239763259887695,-0.9879366755485535,2.029529094696045,2.071627140045166
71,0.493195503950119,0.5194681882858276,-0.78618985414505,-0.7232160568237305,2.1162497997283936,2.155198097229004
72,0.39785975217819214,0.40496519207954407,-1.0256125926971436,-0.9937458038330078,1.9957284927368164,2.0392706394195557
73,0.3978846073150635,0.4039767384529114,-1.0250072479248047,-0.9911757111549377,1.9634267091751099,2.0041327476501465
74,0.4060439467430115,0.41603541374206543,-1.0049325227737427,-0.9662848114967346,1.9608595371246338,2.0038185119628906
75,0.40625903010368347,0.4166571795940399,-1.0064339637756348,-0.9676370620727539,1.9161107540130615,1.9582548141479492
76,0.4207790493965149,0.4335358440876007,-0.9752093553543091,-0.9335894584655762,1.8899680376052856,1.9280614852905273
77,0.42576804757118225,0.43811607360839844,-0.9696792364120483,-0.9318563938140869,1.8710864782333374,1.9114840030670166
78,0.6124390959739685,0.6580370664596558,-0.5742647647857666,-0.5070517659187317,1.9392542839050293,1.9776829481124878
79,0.4540735185146332,0.47065961360931396,-0.9301948547363281,-0.8908044695854187,1.838873028755188,1.8806403875350952
80,0.48189806938171387,0.5010945200920105,-0.8863290548324585,-0.8477553129196167,1.8295704126358032,1.8740290403366089
81,0.7360988855361938,0.7969284057617188,-0.3235771656036377,-0.23529113829135895,1.9309552907943726,1.9750407934188843
82,0.6056863069534302,0.6368941068649292,-0.6707131266593933,-0.6314313411712646,1.8445050716400146,1.8830631971359253
83,0.47343769669532776,0.48734796047210693,-0.9215818643569946,-0.8851643800735474,1.7855095863342285,1.8309305906295776
84,0.45122483372688293,0.460820734500885,-0.9601547718048096,-0.9307664036750793,1.7690526247024536,1.813265085220337
85,0.41623368859291077,0.4245275557041168,-1.0322662591934204,-0.9972758889198303,1.7539021968841553,1.7899802923202515
86,0.45750749111175537,0.4707861542701721,-0.931739330291748,-0.896733820438385,1.7359063625335693,1.7783199548721313
87,0.44559764862060547,0.45869889855384827,-0.9574364423751831,-0.9179487824440002,1.7527437210083008,1.796830415725708
88,0.4573756456375122,0.46864378452301025,-0.9555248618125916,-0.9256336092948914,1.7134710550308228,1.754431128501892
89,0.43855878710746765,0.4487916827201843,-0.9804993867874146,-0.9488545656204224,1.6997771263122559,1.741997480392456
90,0.5559705495834351,0.5801854133605957,-0.6862872838973999,-0.6340917348861694,1.80265212059021,1.8359421491622925
91,0.4835880398750305,0.4946463704109192,-0.9204503893852234,-0.8901644945144653,1.685831904411316,1.7225534915924072
92,0.4443114101886749,0.4524666965007782,-0.9641914963722229,-0.9335433840751648,1.6712337732315063,1.7146470546722412
93,0.45245620608329773,0.4631669521331787,-0.9499782919883728,-0.9185623526573181,1.6555145978927612,1.6964340209960938
94,0.5149522423744202,0.5306341052055359,-0.8539731502532959,-0.8276519179344177,1.6527410745620728,1.6935830116271973
95,0.4590179920196533,0.46990084648132324,-0.9314321875572205,-0.9009981751441956,1.630644679069519,1.672534704208374
96,0.4591406285762787,0.4706381857395172,-0.9346979260444641,-0.902114748954773,1.620813012123108,1.6613675355911255
97,0.4707084000110626,0.48209771513938904,-0.9136603474617004,-0.8844621181488037,1.60702383518219,1.6499329805374146
98,0.4655258357524872,0.476157546043396,-0.9208677411079407,-0.8930373191833496,1.5980066061019897,1.6371901035308838
99,0.4681888520717621,0.48018956184387207,-0.9198418259620667,-0.8881317973136902,1.5858876705169678,1.6245931386947632
100,0.4874313175678253,0.4971506595611572,-0.9142663478851318,-0.8880316019058228,1.5842223167419434,1.6195461750030518
101,0.5058268904685974,0.5207248330116272,-0.8596131205558777,-0.8306429386138916,1.572910189628601,1.610197901725769
102,0.45465582609176636,0.46321022510528564,-0.9568027853965759,-0.9286081790924072,1.5563371181488037,1.5900858640670776
103,0.4665892422199249,0.48094552755355835,-0.9131892919540405,-0.8819400072097778,1.5435773134231567,1.5845890045166016
104,0.5096203684806824,0.5269681811332703,-0.8425000309944153,-0.8102623224258423,1.5884149074554443,1.6224831342697144
105,0.5544398427009583,0.5766412019729614,-0.7172113060951233,-0.6742238402366638,1.6078912019729614,1.6476494073867798
106,0.49257224798202515,0.5057290196418762,-0.8835241198539734,-0.8513869047164917,1.5254833698272705,1.564117193222046
107,0.4400491714477539,0.447428822517395,-0.9889385104179382,-0.9610549211502075,1.5090473890304565,1.541163682937622
108,0.4693832993507385,0.48154598474502563,-0.9147994518280029,-0.8858479857444763,1.5000497102737427,1.5326323509216309
109,0.5417121052742004,0.5576388835906982,-0.8184658885002136,-0.79315185546875,1.5127084255218506,1.5419056415557861
110,0.5169264674186707,0.5364633798599243,-0.850674569606781,-0.8179118037223816,1.4986833333969116,1.5290502309799194
111,0.4667726755142212,0.4794914722442627,-0.9157698750495911,-0.8850156664848328,1.4714300632476807,1.505952000617981
112,0.5455362200737,0.5625683069229126,-0.8063932061195374,-0.781126856803894,1.4875470399856567,1.5169005393981934
113,0.5117249488830566,0.5255070328712463,-0.8187953233718872,-0.7888742685317993,1.512734293937683,1.5427281856536865
114,0.4601823687553406,0.4723406136035919,-0.9383794069290161,-0.9064487814903259,1.4532400369644165,1.483933687210083
115,0.4654009938240051,0.47832053899765015,-0.9408256411552429,-0.9089434742927551,1.4470738172531128,1.4775762557983398
116,0.47892194986343384,0.48815464973449707,-0.900697648525238,-0.8752880692481995,1.4354990720748901,1.463402509689331
117,0.5039414763450623,0.5168781876564026,-0.8535394072532654,-0.8245857954025269,1.427818775177002,1.458377718925476
118,0.46818071603775024,0.4761725068092346,-0.9243603944778442,-0.9006767272949219,1.4374970197677612,1.4641897678375244
119,0.47078120708465576,0.47897768020629883,-0.9112210869789124,-0.8872137665748596,1.4006177186965942,1.4315401315689087
120,0.5051945447921753,0.5157235860824585,-0.8520537614822388,-0.826145589351654,1.4055322408676147,1.4337576627731323
121,0.47699642181396484,0.4902516007423401,-0.8992359042167664,-0.8704208135604858,1.3859351873397827,1.4166449308395386
122,0.41608771681785583,0.4201686680316925,-1.0322918891906738,-1.0043935775756836,1.3854974508285522,1.4003053903579712
123,0.4952164888381958,0.5113048553466797,-0.8627126812934875,-0.8308250308036804,1.377156376838684,1.4065310955047607
124,0.4694199562072754,0.4818432331085205,-0.9249935150146484,-0.8964836597442627,1.3901305198669434,1.4179155826568604
125,0.4609558880329132,0.47213855385780334,-0.9253089427947998,-0.8996684551239014,1.3623069524765015,1.3853144645690918
126,0.46557414531707764,0.47640374302864075,-0.9192389249801636,-0.8900529742240906,1.3511900901794434,1.3738157749176025
127,0.7793500423431396,0.8175206184387207,-0.33161720633506775,-0.2936309576034546,1.4746558666229248,1.48883056640625
128,0.475430965423584,0.48891785740852356,-0.9161883592605591,-0.8832637667655945,1.336288571357727,1.3625684976577759
129,0.4684559404850006,0.4772834777832031,-0.9320376515388489,-0.9092152714729309,1.3510175943374634,1.3746832609176636
130,0.8444134593009949,0.886414647102356,-0.17523068189620972,-0.12294838577508926,1.4832911491394043,1.4962817430496216
131,0.5625442266464233,0.5836442112922668,-0.7711206078529358,-0.7417593002319336,1.3867360353469849,1.3919636011123657
132,0.6203126311302185,0.641330897808075,-0.6720729470252991,-0.6476892828941345,1.3898370265960693,1.4096252918243408
133,0.5840688943862915,0.6043411493301392,-0.65007483959198,-0.6061713695526123,1.396754503250122,1.417649269104004
134,0.49248549342155457,0.5030772686004639,-0.9101216793060303,-0.8814960718154907,1.312905192375183,1.332119107246399
135,0.504320502281189,0.5185353755950928,-0.878838300704956,-0.8509554862976074,1.308449625968933,1.328891396522522
136,0.4967840909957886,0.5101335048675537,-0.8977349996566772,-0.8650325536727905,1.3073095083236694,1.3216527700424194
137,0.47712260484695435,0.4912758767604828,-0.9145141839981079,-0.881415843963623,1.295117974281311,1.318724274635315
138,0.6086451411247253,0.635312020778656,-0.6334417462348938,-0.586044430732727,1.3791319131851196,1.3963242769241333
139,0.5931308269500732,0.6093139052391052,-0.7524817585945129,-0.7344152331352234,1.323412537574768,1.3386071920394897
140,0.8582676649093628,0.8984163999557495,-0.15833477675914764,-0.10917728394269943,1.418994665145874,1.4355489015579224
141,0.7265628576278687,0.7521697878837585,-0.47981148958206177,-0.455955445766449,1.3671616315841675,1.3702433109283447
142,0.47107571363449097,0.48479902744293213,-0.9502069354057312,-0.9175070524215698,1.2888368368148804,1.3053265810012817
143,0.49046292901039124,0.5021516680717468,-0.9124826788902283,-0.885511040687561,1.305223822593689,1.3212040662765503
144,0.5414190888404846,0.5562630295753479,-0.7811247706413269,-0.7525399923324585,1.3225421905517578,1.3387887477874756
145,0.49965009093284607,0.5090099573135376,-0.8952256441116333,-0.8721258044242859,1.30046546459198,1.3162366151809692
146,0.5899613499641418,0.607520341873169,-0.6432105302810669,-0.6053211688995361,1.3569241762161255,1.361453890800476
147,0.4591917097568512,0.4663817584514618,-0.9942102432250977,-0.9646075963973999,1.2856361865997314,1.2929885387420654
148,0.4808637499809265,0.4956457018852234,-0.9125549793243408,-0.8799235224723816,1.270342469215393,1.2911885976791382
149,0.4695359766483307,0.47792211174964905,-0.9418158531188965,-0.916623055934906,1.2715365886688232,1.28792142868042
150,0.46770671010017395,0.4763297140598297,-0.9444507956504822,-0.9225068092346191,1.274451732635498,1.2851897478103638
151,0.4777345359325409,0.4884808659553528,-0.9086817502975464,-0.8816372752189636,1.2656481266021729,1.284514307975769
152,0.4703689515590668,0.48077133297920227,-0.9284622073173523,-0.9016945362091064,1.2660119533538818,1.2825733423233032
153,0.4783768653869629,0.49261054396629333,-0.907738447189331,-0.8763322234153748,1.2645564079284668,1.2808295488357544
154,0.613396406173706,0.6353819370269775,-0.6911881566047668,-0.6664007306098938,1.306046724319458,1.3179298639297485
155,0.6028016209602356,0.6247962713241577,-0.6209032535552979,-0.5797675251960754,1.343199372291565,1.3565444946289062
156,0.46965479850769043,0.47948044538497925,-0.9360063672065735,-0.9095579385757446,1.2627333402633667,1.2775710821151733
157,0.4997476637363434,0.5142056941986084,-0.8699140548706055,-0.8375622034072876,1.2837135791778564,1.3020919561386108
158,0.4788267910480499,0.4861743748188019,-0.91054368019104,-0.8857997059822083,1.2592957019805908,1.2752262353897095
159,0.4646681845188141,0.47219225764274597,-0.9498967528343201,-0.9271775484085083,1.265982985496521,1.2763557434082031
160,0.4799416661262512,0.49205294251441956,-0.8986489772796631,-0.8699288964271545,1.2588531970977783,1.274322271347046
161,0.46931278705596924,0.4820541739463806,-0.9225557446479797,-0.8900426626205444,1.2576826810836792,1.2741528749465942
162,0.463825523853302,0.4710865020751953,-0.9570425748825073,-0.9336832165718079,1.2684547901153564,1.2733120918273926
163,0.4758656919002533,0.4882259964942932,-0.8979737162590027,-0.8697616457939148,1.2545536756515503,1.2726600170135498
164,0.6655634641647339,0.697054922580719,-0.5167708992958069,-0.47396814823150635,1.35545814037323,1.3656854629516602
165,0.4687950611114502,0.47873687744140625,-0.9632158875465393,-0.9388597011566162,1.2641136646270752,1.2695341110229492
166,0.5131551027297974,0.525698184967041,-0.8731560707092285,-0.8527940511703491,1.2675997018814087,1.2766927480697632
167,0.4221469759941101,0.4294481575489044,-1.0195865631103516,-0.9927841424942017,1.269383430480957,1.2656370401382446
168,0.4679625928401947,0.48123231530189514,-0.9090707898139954,-0.876944899559021,1.2514777183532715,1.2669556140899658
169,0.5075913667678833,0.5221999287605286,-0.8391321897506714,-0.8084458708763123,1.2621731758117676,1.2759367227554321
170,0.5593336820602417,0.5773285031318665,-0.7840503454208374,-0.7593967318534851,1.2784432172775269,1.2864669561386108
171,0.4757763743400574,0.4883541762828827,-0.921612024307251,-0.8924652934074402,1.254098892211914,1.2647899389266968
172,0.48226627707481384,0.4939224421977997,-0.888180136680603,-0.8611827492713928,1.2549482583999634,1.267554759979248
173,0.4490817189216614,0.45766666531562805,-0.9691437482833862,-0.9433459043502808,1.252497911453247,1.2589033842086792
174,0.4412291646003723,0.4516032636165619,-0.9725649356842041,-0.9439727067947388,1.253989577293396,1.2642769813537598
175,0.4599427878856659,0.47073987126350403,-0.9342156052589417,-0.906505823135376,1.257745623588562,1.2719441652297974
176,0.46070393919944763,0.4717348515987396,-0.9208757281303406,-0.8926817178726196,1.2483428716659546,1.2618330717086792
177,0.4937451481819153,0.5091615319252014,-0.8596352934837341,-0.8269330263137817,1.2577862739562988,1.2730058431625366
178,0.7089709639549255,0.7440091371536255,-0.46924272179603577,-0.43353742361068726,1.3431130647659302,1.3522584438323975
179,0.48058000206947327,0.4903021454811096,-0.9142783880233765,-0.8901236653327942,1.2606972455978394,1.2682691812515259
180,0.48838379979133606,0.5040856003761292,-0.8997066020965576,-0.870151698589325,1.2601639032363892,1.2671080827713013
181,0.49195632338523865,0.5030158758163452,-0.8759014010429382,-0.8527738451957703,1.2513470649719238,1.2653093338012695
182,0.49179959297180176,0.5049017667770386,-0.8740964531898499,-0.8460559844970703,1.253303050994873,1.2676312923431396
183,0.49016040563583374,0.5046472549438477,-0.8782824277877808,-0.8492947816848755,1.2500512599945068,1.2626721858978271
184,0.5142455101013184,0.5286781787872314,-0.8569294810295105,-0.8322991728782654,1.2703825235366821,1.2838760614395142
185,0.4683777391910553,0.47988417744636536,-0.9124274253845215,-0.8822792172431946,1.2441564798355103,1.2614871263504028
186,0.515095591545105,0.5291944742202759,-0.8637582063674927,-0.8394807577133179,1.260961890220642,1.2725467681884766
187,0.4646029770374298,0.47658437490463257,-0.9169555306434631,-0.8865476846694946,1.2454878091812134,1.2618799209594727
188,0.6061915159225464,0.6306091547012329,-0.6700435280799866,-0.6455366015434265,1.3014211654663086,1.3117588758468628
189,0.47037217020988464,0.4824514389038086,-0.9110516309738159,-0.8823770880699158,1.2439632415771484,1.2603886127471924
190,0.4812767505645752,0.4920704662799835,-0.901767373085022,-0.876681923866272,1.2492319345474243,1.2605563402175903
191,0.678246796131134,0.7117750644683838,-0.5265923738479614,-0.48968979716300964,1.3287098407745361,1.3292149305343628
192,0.47204339504241943,0.4818200469017029,-0.9163896441459656,-0.8914237022399902,1.2445849180221558,1.2564795017242432
193,0.8005275726318359,0.8333135843276978,-0.29941844940185547,-0.2669915556907654,1.3449375629425049,1.3520432710647583
194,0.6076969504356384,0.6326074004173279,-0.6076271533966064,-0.5587053298950195,1.3081741333007812,1.3242449760437012
195,0.5252838730812073,0.5427374243736267,-0.8401455879211426,-0.8055198192596436,1.253762125968933,1.2690212726593018
196,0.5950512886047363,0.6148566007614136,-0.629295825958252,-0.5854304432868958,1.2994251251220703,1.3146672248840332
197,0.5038190484046936,0.5143724083900452,-0.8820106983184814,-0.8547165989875793,1.24640691280365,1.2597877979278564
198,0.6987168192863464,0.7224918007850647,-0.5079115033149719,-0.4836590588092804,1.3213651180267334,1.325568437576294
199,0.481771320104599,0.49019116163253784,-0.9333334565162659,-0.9085537791252136,1.2502425909042358,1.2550944089889526
200,0.5220960974693298,0.5356660485267639,-0.8372023701667786,-0.8102839589118958,1.2499364614486694,1.2662537097930908
201,0.4737536311149597,0.48406100273132324,-0.9268231391906738,-0.8989384770393372,1.241117000579834,1.2564789056777954
202,0.47269532084465027,0.4831032156944275,-0.924171507358551,-0.8976174592971802,1.2409589290618896,1.2556709051132202
203,0.4748063087463379,0.4861792027950287,-0.9168078899383545,-0.888536810874939,1.2392733097076416,1.2535291910171509
204,0.4849165380001068,0.49363380670547485,-0.9259183406829834,-0.9026241898536682,1.2524223327636719,1.2551469802856445
205,0.6986666321754456,0.7257875800132751,-0.5155672430992126,-0.4934524893760681,1.3016681671142578,1.3134528398513794
206,0.47815486788749695,0.4901116192340851,-0.9129225611686707,-0.8849785327911377,1.2382208108901978,1.2511478662490845
207,0.48933538794517517,0.5022854804992676,-0.8865024447441101,-0.8623418807983398,1.239175796508789,1.255713701248169
208,0.6353422999382019,0.6567205190658569,-0.5934909582138062,-0.5639024972915649,1.305474877357483,1.3118222951889038
209,0.6684713363647461,0.690801739692688,-0.5924997925758362,-0.5706475973129272,1.29799222946167,1.299285650253296
210,0.49012330174446106,0.5048562288284302,-0.883754312992096,-0.8494375944137573,1.2367119789123535,1.2538437843322754
211,0.4719785153865814,0.4817947447299957,-0.9504839777946472,-0.9219745397567749,1.2475032806396484,1.2480318546295166
212,0.4870810806751251,0.5003623962402344,-0.8803826570510864,-0.8527601957321167,1.2354238033294678,1.2552573680877686
213,0.4707028567790985,0.4808694124221802,-0.9264175891876221,-0.9009963274002075,1.24028742313385,1.25483238697052
214,0.6870114207267761,0.7137097120285034,-0.5443934202194214,-0.5218468308448792,1.298439383506775,1.3005471229553223
215,0.6555637717247009,0.679224967956543,-0.6166867613792419,-0.5914239287376404,1.27975594997406,1.289090633392334
216,0.48821133375167847,0.5033116936683655,-0.88594651222229,-0.8529885411262512,1.2344436645507812,1.2482351064682007
217,0.5333356261253357,0.5471698641777039,-0.8369994759559631,-0.8113600015640259,1.2467368841171265,1.2586314678192139
218,0.4469234049320221,0.45767977833747864,-0.9813956022262573,-0.9516648054122925,1.23688542842865,1.243043303489685
219,0.8469535708427429,0.8875028491020203,-0.17113256454467773,-0.12135224044322968,1.344712734222412,1.3593271970748901
220,0.5197070240974426,0.5305859446525574,-0.869363009929657,-0.8479723930358887,1.2520060539245605,1.2540838718414307
221,0.4848598539829254,0.500531792640686,-0.8975785970687866,-0.8656953573226929,1.2339801788330078,1.246687650680542
222,0.4914524257183075,0.5051361322402954,-0.881784200668335,-0.8531270623207092,1.2355374097824097,1.2504464387893677
223,0.4950709342956543,0.5089944005012512,-0.8747460842132568,-0.8441966772079468,1.2357017993927002,1.2503191232681274
224,0.47860080003738403,0.4907374680042267,-0.9064762592315674,-0.8781599998474121,1.235758662223816,1.2497172355651855
225,0.4968748986721039,0.511037290096283,-0.8859673738479614,-0.8571323752403259,1.243598222732544,1.2587238550186157
226,0.494162380695343,0.5059797763824463,-0.8779201507568359,-0.8514458537101746,1.2347323894500732,1.2486884593963623
227,0.5192400217056274,0.5360771417617798,-0.8495160341262817,-0.8218037486076355,1.2563285827636719,1.2692533731460571
228,0.49025818705558777,0.5036318898200989,-0.8739993572235107,-0.8468572497367859,1.2335178852081299,1.2518776655197144
229,0.6842353940010071,0.7098275423049927,-0.489086389541626,-0.4531710743904114,1.3209166526794434,1.3287633657455444
230,0.48559069633483887,0.49614226818084717,-0.9100721478462219,-0.8839295506477356,1.2353962659835815,1.2498927116394043
231,0.45405957102775574,0.4614940285682678,-0.980792760848999,-0.9567287564277649,1.236297607421875,1.242967128753662
232,0.47652900218963623,0.49023738503456116,-0.9049011468887329,-0.8756664395332336,1.2332398891448975,1.2483704090118408
233,0.8565729260444641,0.8930234313011169,-0.1591116189956665,-0.11478444933891296,1.350789189338684,1.3593178987503052
234,0.5270998477935791,0.5403732657432556,-0.8645063638687134,-0.840420663356781,1.2424646615982056,1.2564311027526855
235,0.4820888042449951,0.4953751862049103,-0.905307948589325,-0.8755080699920654,1.2310187816619873,1.2444500923156738
236,0.5212423801422119,0.5379925966262817,-0.8613099455833435,-0.8345871567726135,1.2493572235107422,1.2622767686843872
237,0.6069602966308594,0.6239879727363586,-0.6050751209259033,-0.5704730749130249,1.2908496856689453,1.3067461252212524
238,0.44821852445602417,0.45538005232810974,-0.9884334206581116,-0.963786780834198,1.2377009391784668,1.2411538362503052
239,0.480430006980896,0.49017518758773804,-0.9025619029998779,-0.8808864951133728,1.2312169075012207,1.2466949224472046
240,0.5124207735061646,0.5265327095985413,-0.8595495820045471,-0.8304570317268372,1.2392833232879639,1.2511130571365356
241,0.49436697363853455,0.5070372819900513,-0.8684705495834351,-0.8405026197433472,1.2322897911071777,1.2473288774490356
