epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_kl
-1,0.0,0.25,0.25,,
0,0.0,0.2551037073135376,0.25,1.2359305401332676e-05,0.00012333356426097453
1,0.23922905570170916,0.2559286057949066,0.2661290168762207,1.8703407477005385e-05,0.00013094142195768654
2,0.21490845173031978,0.2561221718788147,0.36220473051071167,2.808461431413889e-05,0.00015386650920845568
3,0.47029556829778424,0.2592070698738098,0.2983870804309845,0.000593607546761632,0.0006977044395171106
4,0.6520507931037193,0.28856441378593445,0.3951612710952759,0.015682509168982506,0.007292514201253653
5,0.48703413250143535,0.3384145498275757,0.375,0.10817550122737885,0.02562553808093071
6,0.36999067178244877,0.37165674567222595,0.3951612710952759,0.40109482407569885,0.1124977096915245
7,0.2845209910675152,0.46889281272888184,0.3629032075405121,0.698132336139679,0.9687852263450623
8,0.22077177264752695,0.7940446734428406,0.3709677457809448,0.6319532990455627,8.579702377319336
9,0.17246817026804426,0.9994893670082092,0.25,0.0029108766466379166,48.60072708129883
10,0.13542924033024872,0.9996862411499023,0.2338709533214569,0.003379560774192214,185.72886657714844
11,0.10676770785275479,0.9999933242797852,0.24166667461395264,7.137253851396963e-05,286.1966247558594
12,0.19045065857086438,0.999998152256012,0.2586206793785095,1.8501308659324422e-05,511.8522644042969
13,0.24296030974631183,0.999997079372406,0.25833335518836975,3.1325365853263065e-05,910.1593627929688
14,0.5810083355607546,0.9999988079071045,0.25,1.0898997970798519e-05,1568.174072265625
15,0.46212976092647734,0.9999995231628418,0.25,6.106887212808942e-06,5610.833984375
16,0.36800826663470193,1.0,0.25,1.1044112397939898e-06,15191.7685546875
17,0.32730697239598067,0.9999999403953552,0.25196850299835205,1.4201376075106964e-08,37997.80859375
18,0.3017526956414885,1.0,0.25,1.0770227021339451e-07,39903.78125
19,0.2505351899601942,0.9999998807907104,0.25,2.5224323962902417e-06,30917.32421875
20,0.20005567891970338,0.9999999403953552,0.25,1.1172319318575319e-06,31987.083984375
21,0.3342976421060838,0.9999999403953552,0.25833335518836975,6.430525889555838e-09,32881.90625
22,0.26712088039694415,1.0,0.25,4.2966227908891597e-08,32710.001953125
23,0.21349410809989125,1.0,0.25,4.472270518363075e-07,38037.2109375
24,0.17735070734673852,1.0,0.25,3.21647668499736e-08,40936.1484375
25,0.21228401441650466,0.9999999403953552,0.25,-5.2284924834111735e-08,31435.865234375
26,0.2509037191655061,1.0,0.25,3.490592632715561e-07,13370.4990234375
27,0.31065967480051754,0.9999999403953552,0.25,-3.679580728999099e-08,12559.888671875
28,0.39068319778695565,1.0,0.25,1.4876771103899955e-07,13385.544921875
29,0.40470316792631733,0.9999999403953552,0.25,1.818495292127409e-07,16553.08984375
30,0.5759306177226566,1.0,0.25,3.577729899006954e-07,26386.052734375
31,0.48774546708278693,1.0,0.25,1.1070319061445844e-07,45639.28515625
32,0.6332089131807394,1.0,0.25,1.4388207070226144e-08,62424.69921875
33,0.5926403744506346,0.9999999403953552,0.25,-4.351767302068765e-08,53039.78125
34,0.47407382251456104,1.0,0.25,7.738003127144566e-09,66692.578125
35,0.4046988556158731,0.9999999403953552,0.25,-4.465603353764891e-08,78678.4453125
36,0.4144862232503277,1.0,0.25,2.342393612408955e-09,84614.171875
37,0.7077958312660488,1.0,0.25,2.834312784472104e-09,72353.078125
38,0.8065766528030159,0.9999999403953552,0.25,-5.6190426533930804e-08,59380.18359375
39,0.7094787210945974,1.0,0.25,7.018368108901996e-10,43904.265625
40,0.6935692366475633,1.0,0.25,1.0061397270888506e-09,30676.712890625
41,0.5928972314741222,1.0,0.25,6.032979671388716e-10,30325.744140625
42,0.5031907971669309,0.9999999403953552,0.25,5.8781020051412725e-09,39187.47265625
43,0.5951561903006883,0.9999999403953552,0.25,-5.754749210495902e-08,39443.5625
44,0.5899888721651932,1.0,0.25,6.998241430800078e-10,45852.25390625
45,0.4719878083425828,1.0,0.25,2.2620902928593978e-09,84184.03125
46,0.377588141491149,0.9999999403953552,0.25,-5.025182403528561e-08,101780.3515625
47,0.3020691658893732,1.0,0.25,6.873099867021892e-09,135432.984375
48,0.268008849538995,0.9999999403953552,0.25,-5.8564651794768e-08,211258.984375
49,0.2929783147633696,1.0,0.25,5.575259143242306e-10,227003.484375
