epoch,train_loss,val_loss,train_error,val_error,train_kl,val_kl
0,206.55311584472656,24.18764305114746,0.4976182281970978,0.47009265422821045,20605550.0,2371755.0
1,109.87332153320312,11.342016220092773,0.40258824825286865,0.3220091164112091,10947074.0,1102000.75
2,56.01822280883789,6.7272820472717285,0.26048219203948975,0.2072339802980423,5575774.0,652004.8125
3,40.25880813598633,5.48405122756958,0.19446459412574768,0.16551311314105988,4006434.5,531853.8125
4,33.799346923828125,4.762955188751221,0.15046313405036926,0.10495290905237198,3364888.5,465800.25
5,30.19889259338379,4.383223056793213,0.1064690425992012,0.08121194690465927,3009242.5,430201.125
6,28.06133460998535,4.03705358505249,0.08980323374271393,0.06792009621858597,2797153.25,396913.375
7,25.69420623779297,3.680269718170166,0.0782371237874031,0.057908542454242706,2561597.0,362236.125
8,23.899829864501953,3.4215266704559326,0.07040879875421524,0.052133042365312576,2382942.25,336939.375
9,22.50011444091797,3.205141067504883,0.06516529619693756,0.04901130869984627,2243495.0,315613.0
10,21.517332077026367,3.0624327659606934,0.06026311591267586,0.0445697121322155,2145707.0,301786.3125
11,20.58138084411621,2.9022469520568848,0.05597013235092163,0.041454512625932693,2052541.125,286079.25
12,19.72456169128418,2.784055471420288,0.05209842324256897,0.03824933245778084,1967246.25,274580.625
13,19.073040008544922,2.68619441986084,0.04872064292430878,0.03542570769786835,1902432.0,265076.875
