epoch,train_loss,val_loss,train_error,val_error,train_kl,val_kl
0,0.7567108869552612,0.7513136863708496,0.004763585515320301,0.004044084344059229,0.751947283744812,0.7472696304321289
1,0.75679612159729,0.751399040222168,0.004730584565550089,0.003949351608753204,0.7520655393600464,0.7474496960639954
2,0.7565255761146545,0.7501195669174194,0.004692879971116781,0.003850602312013507,0.7518327236175537,0.7462689876556396
3,0.7562457919120789,0.7493252158164978,0.004646325018256903,0.003909823019057512,0.7515994906425476,0.7454153895378113
4,0.7568383812904358,0.7506077289581299,0.004575077444314957,0.003889466868713498,0.7522633075714111,0.7467182874679565
5,0.7561907172203064,0.7499282360076904,0.004505055025219917,0.003822887083515525,0.7516856789588928,0.7461053729057312
6,0.7559725642204285,0.7505707144737244,0.004430087748914957,0.003819777863100171,0.7515424489974976,0.7467509508132935
7,0.7564161419868469,0.7500824928283691,0.004368741996586323,0.003684982657432556,0.7520474195480347,0.7463974952697754
8,0.7555805444717407,0.75163733959198,0.0043093860149383545,0.0036774915643036366,0.75127112865448,0.7479598522186279
9,0.7560617923736572,0.7511698603630066,0.004251128528267145,0.0035950825549662113,0.7518106698989868,0.7475748062133789
10,0.7561393976211548,0.7509434819221497,0.004201211966574192,0.003503327490761876,0.7519381642341614,0.7474401593208313
11,0.7555513381958008,0.749633252620697,0.0041514234617352486,0.003522096201777458,0.7513999342918396,0.7461111545562744
12,0.7552502155303955,0.7493643164634705,0.004117191769182682,0.00350075657479465,0.7511330246925354,0.7458635568618774
13,0.7555674910545349,0.7501466870307922,0.004069879651069641,0.003479189472272992,0.7514976263046265,0.7466675043106079
14,0.7555940747261047,0.7496528625488281,0.004038904793560505,0.0033219761680811644,0.7515551447868347,0.7463308572769165
15,0.7551758885383606,0.7505849003791809,0.003996097948402166,0.003289147512987256,0.7511798143386841,0.7472957372665405
16,0.7552701234817505,0.7507472634315491,0.0039620473980903625,0.0033003927674144506,0.7513080835342407,0.7474468946456909
17,0.7557810544967651,0.7503430247306824,0.0039492580108344555,0.0033278123009949923,0.7518317699432373,0.7470152378082275
18,0.7555198669433594,0.7498446702957153,0.003917313646525145,0.00320753687992692,0.7516025304794312,0.7466371059417725
19,0.7552799582481384,0.7487133741378784,0.0038864591624587774,0.0032307764049619436,0.7513934969902039,0.7454826235771179
20,0.7559171319007874,0.7506094574928284,0.003869077190756798,0.0032250662334263325,0.7520480751991272,0.7473843693733215
21,0.7553714513778687,0.7499470710754395,0.003840048797428608,0.003228934248909354,0.7515314221382141,0.7467181086540222
22,0.7553817629814148,0.7506505846977234,0.0038266165647655725,0.00322822667658329,0.7515551447868347,0.7474223375320435
23,0.7551045417785645,0.7502341866493225,0.0038099775556474924,0.003086887067183852,0.7512945532798767,0.7471473217010498
24,0.7557157278060913,0.7498830556869507,0.0037919734604656696,0.003154737176373601,0.7519237399101257,0.7467283010482788
25,0.7549365758895874,0.7503643035888672,0.003783252788707614,0.0030857715755701065,0.7511533498764038,0.7472785115242004
26,0.7556003928184509,0.7498184442520142,0.0037661436945199966,0.0032068584114313126,0.7518342733383179,0.7466115951538086
27,0.7557069063186646,0.7503511905670166,0.003752630902454257,0.0030890617053955793,0.7519542574882507,0.7472621202468872
28,0.7549675703048706,0.7503764629364014,0.0037332044448703527,0.00311222393065691,0.7512343525886536,0.7472642660140991
29,0.7559483647346497,0.7510994076728821,0.0037189859431236982,0.003070290433242917,0.7522293925285339,0.7480291128158569
30,0.7549872994422913,0.7513148188591003,0.0037087611854076385,0.003111126832664013,0.7512785196304321,0.748203694820404
31,0.755223274230957,0.7497488856315613,0.0036990719381719828,0.0030876987148076296,0.7515242099761963,0.7466611862182617
32,0.7554178237915039,0.7497563362121582,0.003693309845402837,0.003045230871066451,0.7517245411872864,0.7467111349105835
33,0.754947304725647,0.7498214244842529,0.00367590319365263,0.003001459641382098,0.7512714266777039,0.7468199729919434
34,0.7555272579193115,0.7482507228851318,0.003673275001347065,0.0030341078527271748,0.7518540024757385,0.7452166080474854
35,0.7549024820327759,0.7507252097129822,0.0036549209617078304,0.0030028463806957006,0.7512475848197937,0.7477223873138428
36,0.7551367878913879,0.7492198944091797,0.003648347221314907,0.0030298030469566584,0.751488447189331,0.746190071105957
37,0.7546634674072266,0.7479673624038696,0.003645203309133649,0.0029602309223264456,0.7510182857513428,0.7450071573257446
38,0.7557103633880615,0.7491632699966431,0.003644435666501522,0.002966098254546523,0.7520659565925598,0.7461971640586853
39,0.7547206878662109,0.7485851645469666,0.003634881926700473,0.002978935604915023,0.7510858178138733,0.7456062436103821
40,0.7553972005844116,0.7505444288253784,0.003638335969299078,0.00298093119636178,0.751758873462677,0.7475634813308716
41,0.7540777325630188,0.7503462433815002,0.0036195670254528522,0.002999219810590148,0.7504581809043884,0.7473469972610474
42,0.7551586031913757,0.7494903206825256,0.003618053160607815,0.002985983854159713,0.7515405416488647,0.7465043663978577
43,0.755074679851532,0.750344455242157,0.003614391665905714,0.002960821380838752,0.7514603137969971,0.7473836541175842
44,0.7554394602775574,0.7490891218185425,0.0036214275751262903,0.002957955002784729,0.751818060874939,0.746131181716919
45,0.7549349069595337,0.7519137263298035,0.003618149319663644,0.0029828965198248625,0.7513167858123779,0.748930811882019
46,0.754496157169342,0.7498986124992371,0.0036024677101522684,0.0029158105608075857,0.7508937120437622,0.7469828128814697
47,0.7550790905952454,0.74803626537323,0.003610703395679593,0.002907749032601714,0.7514683604240417,0.7451285123825073
48,0.7543456554412842,0.7504674196243286,0.00360361160710454,0.0029109911993145943,0.7507420182228088,0.7475564479827881
49,0.7551448941230774,0.7505512237548828,0.0036045019514858723,0.0029101234395056963,0.7515403628349304,0.7476410865783691
