epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_kl
-1,0.0,0.25,0.25,,
0,0.07071613437599605,0.25529977679252625,0.28125,1.4167335393722169e-05,0.00013054664304945618
1,0.3687291018298414,0.25766727328300476,0.2916666865348816,2.1139987438800745e-05,0.00014723589993081987
2,0.24382086950265938,0.25891217589378357,0.3046875,2.7830521503346972e-05,0.00015466050535906106
3,0.17128967319653746,0.2589961886405945,0.3203125,3.808832843787968e-05,0.00019649422029033303
4,0.13956541903636868,0.2625320553779602,0.3125,0.00014705400099046528,0.0005260799662210047
5,0.10424513474484018,0.2652212083339691,0.3359375,0.0005328600527718663,0.0010715131647884846
6,0.5462845329814601,0.2726063132286072,0.32692310214042664,0.002293565310537815,0.002186419675126672
7,0.42009009573119954,0.28315311670303345,0.390625,0.0056555503979325294,0.009093662723898888
8,0.4524259920528108,0.34763768315315247,0.3750000298023224,0.09374062716960907,0.07192526757717133
9,0.5319839198220573,0.3824399411678314,0.2946428656578064,0.23424872756004333,0.1681654006242752
10,0.6458696747435602,0.44148266315460205,0.31666669249534607,0.6430363059043884,0.790324866771698
11,0.5316204690904994,0.5110360980033875,0.3965517282485962,1.486072301864624,3.789537191390991
12,0.5446992136296556,0.5914706587791443,0.41904762387275696,2.0164692401885986,12.392313003540039
13,0.4317866119113495,0.6836214065551758,0.4482758641242981,2.5721380710601807,30.290807723999023
14,0.47883123139014905,0.7111496329307556,0.42268040776252747,3.203930377960205,91.37081146240234
15,0.44943935027864285,0.6468051671981812,0.4099999964237213,4.498867034912109,200.36419677734375
16,0.714642839625501,0.752295970916748,0.29807692766189575,4.721519947052002,223.49179077148438
17,0.7489838222693279,0.9042850136756897,0.3482142984867096,6.355953216552734,348.90106201171875
18,0.5974398750591461,0.9920961856842041,0.40000003576278687,9.446253776550293,602.400146484375
19,0.47683955845955633,0.9804537296295166,0.442307710647583,11.35170841217041,717.1654663085938
20,0.6264086468225047,0.9896005392074585,0.2551020383834839,8.747483253479004,1567.46337890625
21,0.5003829933053147,0.9895623326301575,0.3500000238418579,8.495407104492188,2660.34326171875
22,0.5323274702632254,0.9856892228126526,0.2983870804309845,8.115533828735352,3525.72607421875
23,0.4254582356573381,0.9875534772872925,0.3583333492279053,7.932932376861572,4568.44384765625
24,0.6665077230917745,0.9912147521972656,0.32758620381355286,7.7423014640808105,5172.07080078125
25,0.6047672293673402,0.9810739159584045,0.35483869910240173,7.754282474517822,6046.00634765625
26,0.4835793720863669,0.9816869497299194,0.3333333134651184,12.267243385314941,7597.71826171875
27,0.3867136051549429,0.9612427353858948,0.265625,6.861142635345459,13125.9052734375
28,0.3092750197985561,0.9428851008415222,0.28333336114883423,5.653364181518555,26460.1875
29,0.24735869688266657,0.9632288813591003,0.3359375,5.508875846862793,34569.16796875
30,0.19784773087752433,0.9741688966751099,0.3671875,4.773442268371582,26469.443359375
31,0.15825308861600515,0.9853737950325012,0.296875,3.5347812175750732,20545.046875
32,0.12658641398116088,0.976660430431366,0.32258063554763794,2.391740560531616,29758.50390625
33,0.10125885710727321,0.9671874642372131,0.3583333492279053,2.647420883178711,47516.9140625
34,0.08100051147679506,0.957292914390564,0.375,3.9194912910461426,46308.4609375
35,0.06479620230225498,0.9449107050895691,0.3709677457809448,4.896190643310547,46042.890625
36,0.0518342697537379,0.9432632327079773,0.3103448152542114,5.094286918640137,56455.30078125
37,0.04146569302768273,0.9427739381790161,0.3359375,5.301093101501465,63878.22265625
38,0.03317145192839889,0.9414388537406921,0.3046875,5.564199447631836,63162.72265625
39,0.02653645598893074,0.9418444037437439,0.33870965242385864,5.501980781555176,66884.6875
40,0.02122871325832975,0.9459394216537476,0.359375,5.547605514526367,60718.0390625
41,0.01698268163672576,0.9577332735061646,0.328125,4.614192008972168,53956.609375
42,0.013585960374284453,0.95097416639328,0.296875,3.429570198059082,42890.6953125
43,0.010868649943865976,0.949152410030365,0.3750000298023224,2.9451987743377686,42619.0078125
44,0.008694844209018088,0.9703207612037659,0.328125,2.3940064907073975,44861.69921875
45,0.006955826890486825,0.964207112789154,0.3203125,2.534189224243164,49013.8359375
46,0.005564630487672959,0.946581244468689,0.328125,3.1529858112335205,54868.64453125
47,0.004451684534519071,0.9449195265769958,0.38333335518836975,3.3555970191955566,52995.75
48,0.0035613349201209284,0.9354749917984009,0.375,4.601149559020996,45245.921875
49,0.0028490598033526072,0.947959840297699,0.3951612710952759,5.469566345214844,50651.81640625
