epoch,avg_reward,skill_acc
-1,1.8000000000000003,0.5
0,1.8000000000000003,0.5227272510528564
1,2.2625,0.4651162922382355
2,1.6500000000000004,0.527999997138977
3,1.025,0.59765625
4,1.1124999999999998,0.609375
5,1.4687500000000002,0.640625
6,1.3375000000000004,0.8046875
7,1.9375000000000007,0.9453125
8,3.8375000000000004,1.0
9,6.274999999999997,1.0
10,7.31874999999999,0.99609375
11,8.087499999999997,1.0
12,5.868749999999995,1.0
13,8.024999999999997,1.0
14,12.056250000000013,1.0
15,9.750000000000018,1.0
16,12.66250000000001,1.0
17,12.031249999999995,1.0
18,5.699999999999996,1.0
19,10.118749999999997,1.0
20,6.812499999999992,1.0
21,12.831250000000015,1.0
22,6.187499999999995,1.0
23,7.018749999999991,1.0
24,7.618749999999988,1.0
25,15.59375000000002,1.0
26,14.625000000000023,1.0
27,16.56875000000005,0.99609375
28,7.9562500000000025,1.0
29,14.006250000000007,1.0
30,15.943750000000025,1.0
31,22.200000000000067,1.0
32,11.149999999999984,1.0
33,10.46249999999998,1.0
34,5.9249999999999945,1.0
35,5.874999999999995,1.0
36,5.793749999999995,1.0
37,6.218749999999995,1.0
38,6.849999999999998,1.0
39,6.7500000000000036,1.0
40,6.106249999999994,1.0
41,8.012499999999989,1.0
42,13.837500000000013,1.0
43,8.681249999999995,1.0
44,11.39999999999999,1.0
45,12.118749999999991,1.0
46,10.856249999999985,1.0
47,29.674999999999933,1.0
48,10.29999999999998,1.0
49,11.762499999999974,1.0
50,10.218749999999979,1.0
51,6.549999999999994,1.0
52,12.549999999999972,1.0
53,12.83749999999997,1.0
54,14.606249999999976,1.0
55,19.800000000000026,1.0
56,14.918749999999982,1.0
57,12.756249999999977,1.0
58,10.568749999999978,1.0
59,19.981250000000024,1.0
60,18.075000000000003,1.0
61,12.156249999999977,1.0
62,11.956249999999976,1.0
63,11.362499999999978,1.0
64,11.962499999999977,1.0
65,9.306249999999988,1.0
66,10.649999999999984,1.0
67,9.474999999999984,1.0
68,12.781249999999988,1.0
69,16.543750000000003,1.0
70,9.74374999999998,1.0
71,8.631249999999985,1.0
72,11.837499999999975,1.0
73,12.218749999999979,1.0
74,10.824999999999989,1.0
75,10.881249999999984,1.0
76,11.693749999999977,1.0
77,8.674999999999985,1.0
78,10.25624999999999,1.0
79,10.94374999999998,1.0
80,10.568749999999984,1.0
