epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.610213443295237,1.0,0.25,,1.0,
0,-4.678292741735064,1.0,0.265625,0.0,1.0,3.856858299400301e-08
1,-4.568455338413644,1.0,0.2421875,0.0,1.0,3.630310274616022e-08
2,-4.181401606074218,1.0,0.2421875,0.0,1.0,3.1851964621409934e-08
3,-2.2132446874506018,1.0,0.2734375,0.0,1.0,2.4880337790023077e-08
4,-2.82665959119315,1.0,0.21875,0.0,1.0,7.987988048796524e-09
5,-3.472331665922003,1.0,0.2265625,0.0,1.0,3.834020323445486e-10
6,-3.546657684239446,1.0,0.265625,0.0,1.0,-3.0077051960120116e-10
7,-2.063984276418073,1.0,0.2109375,0.0,1.0,-5.966662580680904e-11
8,-2.1491259841736188,1.0,0.1953125,0.0,1.0,3.539882609260303e-09
9,-2.2032743976922426,1.0,0.2421875,0.0,1.0,1.0728378185831389e-09
10,-2.198185640668307,1.0,0.25,0.0,1.0,1.8076948271605886e-10
11,-2.202099780740303,1.0,0.2578125,0.0,1.0,9.429621666834365e-11
12,-2.156670133179625,1.0,0.265625,0.0,1.0,-1.1653857046045601e-10
13,-2.19611993849282,1.0,0.25,0.0,1.0,-8.188281996890368e-11
14,-2.2263183651927543,1.0,0.234375,0.0,1.0,-3.719391808432171e-11
15,-2.2263183651927543,1.0,0.234375,0.0,1.0,-1.1228211069247429e-11
16,-2.2263183651927543,1.0,0.265625,0.0,1.0,3.9528526285526056e-11
17,-2.2263183651927543,1.0,0.265625,0.0,1.0,-2.1668940947128235e-11
18,-2.2263183651927543,1.0,0.25,0.0,1.0,-2.7626255449941794e-11
19,-2.2263183651927543,1.0,0.234375,0.0,1.0,-1.2297309004427603e-11
20,-2.2263183651927543,1.0,0.25,0.0,1.0,3.853935573450151e-11
21,-2.2263183651927543,1.0,0.25,0.0,1.0,-1.2249800132591027e-11
22,-2.2263183651927543,1.0,0.265625,0.0,1.0,5.3640935443466375e-11
23,-2.2263183651927543,1.0,0.2578125,0.0,1.0,-7.252833316567786e-12
24,-2.2263183651927543,1.0,0.2421875,0.0,1.0,-2.973727514232749e-11
25,-2.2263183651927543,1.0,0.2890625,0.0,1.0,3.8072277969147805e-11
26,-2.2263183651927543,1.0,0.2421875,0.0,1.0,-8.853012940790439e-12
27,-2.2263183651927543,1.0,0.265625,0.0,1.0,8.592318696820644e-12
28,-2.2263183651927543,1.0,0.2265625,0.0,1.0,-1.6325945803585817e-11
29,-2.2263183651927543,1.0,0.28125,0.0,1.0,-3.9154519904105456e-11
30,-2.2263183651927543,1.0,0.2421875,0.0,1.0,-3.4871519734303025e-12
31,-2.2263183651927543,1.0,0.2578125,0.0,1.0,-4.922447432303967e-12
32,-2.2263183651927543,1.0,0.2421875,0.0,1.0,2.7374959937764842e-11
33,-2.2263183651927543,1.0,0.234375,0.0,1.0,2.0296963762489462e-11
34,-2.2263183651927543,1.0,0.2734375,0.0,1.0,2.241062196928212e-11
35,-2.2263183651927543,1.0,0.2109375,0.0,1.0,-2.982535399209674e-11
36,-2.2263183651927543,1.0,0.25,0.0,1.0,-1.6386349742381068e-12
37,-2.2263183651927543,1.0,0.234375,0.0,1.0,8.986900633389805e-12
38,-2.2263183651927543,1.0,0.2734375,0.0,1.0,-3.823942031078165e-12
39,-2.2263183651927543,1.0,0.2578125,0.0,1.0,4.315004950572465e-12
40,-2.2263183651927543,1.0,0.234375,0.0,1.0,-5.951102891726956e-12
41,-2.2263183651927543,1.0,0.2578125,0.0,1.0,-9.376031201435708e-12
42,-2.2263183651927543,1.0,0.2578125,0.0,1.0,-8.831990043825511e-13
43,-2.2263183651927543,1.0,0.28125,0.0,1.0,1.3650029023759558e-11
44,-2.2263183651927543,1.0,0.234375,0.0,1.0,1.7516717243371005e-11
45,-2.2263183651927543,1.0,0.2734375,0.0,1.0,2.0338264059005517e-11
46,-2.2263183651927543,1.0,0.25,0.0,1.0,-2.8558782942667005e-12
47,-2.2263183651927543,1.0,0.2578125,0.0,1.0,-1.3112926543212833e-11
48,-2.2263183651927543,1.0,0.265625,0.0,1.0,1.1514890603525618e-11
49,-2.2263183651927543,1.0,0.265625,0.0,1.0,2.954604616522971e-11
50,-2.2263183651927543,1.0,0.21875,0.0,1.0,-1.8189894035458565e-12
51,-2.2263183651927543,1.0,0.2734375,0.0,1.0,1.4232469369712675e-11
52,-2.2263183651927543,1.0,0.28125,0.0,1.0,1.0426868569946013e-11
53,-2.2263183651927543,1.0,0.2421875,0.0,1.0,4.348742720095e-12
54,-2.2263183651927543,1.0,0.265625,0.0,1.0,2.1941476413545047e-11
